,processed_tick_count,memory_usage,elapsed,processed
0,,0.116752384,0.01564073603367433,1013.0
1,,0.117420032,0.028811972064431757,2026.0
2,,0.117526528,0.04165746702346951,3039.0
3,,0.117714944,0.05474976502591744,4052.0
4,,0.11782144,0.06771474401466548,5065.0
5,,0.117870592,0.08064460702007636,6078.0
6,,0.117972992,0.09365733503364027,7091.0
7,,0.1180672,0.10657598706893623,8104.0
8,,0.11825152,0.11965001007774845,9117.0
9,,0.118370304,0.13261396711459383,10130.0
10,,0.118489088,0.14557930710725486,11143.0
11,,0.11859968,0.1589942091377452,12156.0
12,,0.118726656,0.17232737911399454,13169.0
13,,0.118829056,0.1853218330652453,14182.0
14,,0.118939648,0.1983853770652786,15195.0
15,,0.119296,0.2114630870637484,16208.0
16,,0.1193984,0.22463664709357545,17221.0
17,,0.119492608,0.23803784407209605,18234.0
18,,0.119607296,0.2508628900977783,19247.0
19,,0.119701504,0.26378545904299244,20260.0
