,processed,memory_usage_gb,elapsed_secs
0,648627.0,0.140066816,7.479577411999799
1,1297254.0,0.142286848,14.897560058000181
2,1945881.0,0.143417344,22.319532041000457
3,2594508.0,0.146558976,29.745121582000593
4,3243135.0,0.148713472,37.10380701400027
5,3891762.0,0.150851584,44.56537163400026
6,4540389.0,0.152956928,54.18552478800029
7,5189016.0,0.155103232,61.506299329000285
8,5837643.0,0.157192192,68.88526913600026
9,6486270.0,0.178020352,76.24178108000024
10,7134897.0,0.179367936,83.51857364700027
11,7783524.0,0.181485568,90.85434271600025
12,8432151.0,0.183775232,98.12897805500052
13,9080778.0,0.191746048,105.49713767700041
14,9729405.0,0.19310592,112.77522485300005
15,10378032.0,0.195239936,120.08168266800021
16,11026659.0,0.198057984,127.80414659800044
17,11675286.0,0.20027392,135.0444657110006
18,12323913.0,0.201637888,142.3313199890008
19,12972540.0,0.203739136,149.64846314500073
20,13621167.0,0.212107264,163.7676631340005
21,14269794.0,0.213508096,171.05161832100066
22,14918421.0,0.215707648,178.45231578100038
23,15567048.0,0.217841664,185.7997823810001
24,16215675.0,0.219967488,193.14918427300017
25,16864302.0,0.222076928,200.5905450500004
26,17512929.0,0.224182272,207.91245319800055
27,18161556.0,0.226304,215.30359107900085
28,18810183.0,0.228417536,222.74529940800085
29,19458810.0,0.248262656,232.80396486100062
30,20107437.0,0.250912768,240.12358291200053
31,20756064.0,0.253243392,247.54859456900022
32,21404691.0,0.255574016,254.90951164900025
33,22053318.0,0.258449408,262.28997577000064
34,22701945.0,0.259903488,277.1120019560003
35,23350572.0,0.261992448,291.6384845610005
36,23999199.0,0.264097792,298.92076232100044
37,24647826.0,0.266190848,306.2707168800007
38,25296453.0,0.26832896,313.72646691900036
39,25945080.0,0.270778368,326.8653407800002
40,26593707.0,0.272551936,334.21114928800034
41,27242334.0,0.274694144,341.5794197280002
42,27890961.0,0.277835776,348.8989999380001
43,28539588.0,0.279977984,357.8492094010003
44,29188215.0,0.282550272,365.10511430099996
45,29836842.0,0.28315648,372.3971662220001
46,30485469.0,0.286302208,379.75883790900025
47,31134096.0,0.288436224,386.9399490850001
48,31782723.0,0.290553856,394.25489615100014
49,32431350.0,0.292651008,401.74354685000026
