,processed,memory_usage_gb,elapsed_secs
0,648627.0,0.153059328,7.092978771004709
1,1297254.0,0.191356928,14.283191296010045
2,1945881.0,0.209436672,21.447654361007153
3,2594508.0,0.214687744,28.63956504300586
4,3243135.0,0.228261888,35.86606803900213
5,3891762.0,0.240758784,42.87770354600798
6,4540389.0,0.253222912,50.10265425899706
7,5189016.0,0.265703424,57.471728475997224
8,5837643.0,0.278196224,64.77546669798903
9,6486270.0,0.314691584,72.04783162598324
10,7134897.0,0.348786688,79.33950470697891
11,7783524.0,0.38309888,86.56800226597989
12,8432151.0,0.39596032,93.78852847598318
13,9080778.0,0.413679616,100.9717921109841
14,9729405.0,0.447602688,108.04772360197967
15,10378032.0,0.465084416,115.26379079498292
16,11026659.0,0.482787328,122.50605507698492
17,11675286.0,0.500498432,129.7388603399886
18,12323913.0,0.518197248,136.95125799698872
19,12972540.0,0.53592064,144.20333786899573
20,13621167.0,0.553611264,151.41346936300397
21,14269794.0,0.571326464,158.63139075500658
22,14918421.0,0.5891072,165.83704201200453
23,15567048.0,0.616230912,179.18376604400692
24,16215675.0,0.634974208,186.29940101101238
25,16864302.0,0.652623872,193.51578897601576
26,17512929.0,0.670355456,200.64977778501634
27,18161556.0,0.688033792,207.9041916370188
28,18810183.0,0.705744896,215.1478905720287
29,19458810.0,0.723468288,224.39490751802805
30,20107437.0,0.74115072,238.92318318702746
31,20756064.0,0.75884544,253.21716635502526
32,21404691.0,0.776556544,267.76341987002525
33,22053318.0,0.794243072,282.2507062800287
34,22701945.0,0.81207296,292.1213350640319
35,23350572.0,0.829837312,299.26947347502573
36,23999199.0,0.847532032,306.30145318902214
37,24647826.0,0.87042048,313.47281650302466
38,25296453.0,0.888147968,320.623076606018
39,25945080.0,0.905838592,327.8345391580224
40,26593707.0,0.923537408,335.04362330601725
41,27242334.0,0.942317568,342.24421297402296
42,27890961.0,0.959995904,349.38326110702474
43,28539588.0,0.977711104,356.52438765001716
44,29188215.0,0.995418112,363.68825143002323
45,29836842.0,1.01312512,370.8486803450214
46,30485469.0,1.030791168,378.07183759303007
47,31134096.0,1.048530944,387.2359860930301
48,31782723.0,1.06622976,401.460926349042
49,32431350.0,1.083928576,408.6189410630468
